59195.658406 8471235900.000000 1.250554 8049
59195.658522 8471235900.000000 1.473412 8049
59195.658638 8471235900.000000 1.210972 8049
59195.658753 8471236000.000000 1.248338 8049
59195.658869 8471236000.000000 1.463488 8049
59195.658985 8471236000.000000 1.202688 8049
59195.659101 8471236100.000000 1.256096 8049
59195.659216 8471236100.000000 1.443402 8049
59195.659332 8471236100.000000 1.178762 8049
59195.659448 8471236200.000000 1.249513 8049
59195.659563 8471236200.000000 1.429610 8049
59195.659679 8471236200.000000 1.137638 8049
59195.659795 8471236300.000000 1.260974 8049
59195.659911 8471236300.000000 1.407073 8049
59195.660026 8471236300.000000 1.092358 8049
59195.660142 8471236400.000000 1.285754 8049
59195.660258 8471236400.000000 1.563784 8049
59195.660374 8471236400.000000 1.127676 8049
59195.660489 8471236500.000000 1.422718 8049
59195.660605 8471236500.000000 1.472714 8049
59195.660721 8471236500.000000 0.972010 8049
59195.660837 8471236600.000000 1.305888 8049
59195.660952 8471236600.000000 1.426978 8049
59195.661068 8471236700.000000 1.051292 8049
59195.661184 8471236700.000000 1.425301 8049
59195.661300 8471236700.000000 1.319288 8049
59195.661415 8471236800.000000 1.053958 8049
59195.661531 8471236800.000000 1.292377 8049
59195.661647 8471236800.000000 1.120652 8049
59195.661763 8471236900.000000 1.050604 8049
59195.661878 8471236900.000000 1.252202 8049
59195.661994 8471236900.000000 1.001495 8049
59195.662110 8471237000.000000 1.102261 8049
59195.662225 8471237000.000000 1.207712 8049
59195.662341 8471237000.000000 0.881009 8049
59195.662457 8471237100.000000 1.137783 8049
59195.662573 8471237100.000000 1.126861 8049
59195.662688 8471237200.000000 0.831599 8049
59195.662804 8471237200.000000 1.144752 8049
59195.662920 8471237200.000000 1.115098 8049
59195.663036 8471237300.000000 1.011366 8049
59195.663151 8471237300.000000 1.233881 8049
59195.663267 8471237300.000000 0.978001 8049
59195.663383 8471237400.000000 1.053130 8049
59195.663499 8471237400.000000 1.066936 8049
59195.663614 8471237400.000000 0.744907 8049
59195.663730 8471237500.000000 1.017490 8049
59195.663846 8471237500.000000 0.963363 8049
59195.663962 8471237600.000000 0.791688 8049
59195.664077 8471237600.000000 1.017057 8049
59195.664193 8471237600.000000 0.826255 8049
59195.664309 8471237700.000000 0.860846 8049
59195.664425 8471237700.000000 0.951151 8049
59195.664540 8471237700.000000 0.668979 8049
59195.664656 8471237800.000000 0.910655 8049
59195.664772 8471237800.000000 0.851133 8049
59195.664888 8471237900.000000 0.728846 8049
59195.665003 8471237900.000000 0.900776 8049
59195.665119 8471237900.000000 0.702739 8049
59195.665235 8471238000.000000 0.789879 8049
59195.665351 8471238000.000000 0.830313 8049
59195.665466 8471238100.000000 0.610581 8049
59195.665582 8471238100.000000 0.797870 8049
59195.665698 8471238100.000000 0.698090 8049
59195.665813 8471238200.000000 0.698163 8049
59195.665929 8471238200.000000 0.762169 8049
59195.666045 8471238200.000000 0.539619 8049
59195.666161 8471238300.000000 0.737127 8049
59195.666276 8471238300.000000 0.656340 8049
59195.666392 8471238400.000000 0.608351 8049
59195.666508 8471238400.000000 0.697506 8049
59195.666624 8471238400.000000 0.511664 8049
59195.666739 8471238500.000000 0.669711 8049
59195.666855 8471238500.000000 0.611298 8049
59195.666971 8471238600.000000 0.610060 8049
59195.667087 8471238600.000000 0.696553 8049
59195.667202 8471238600.000000 0.502957 8049
59195.667318 8471238700.000000 0.643266 8049
59195.667434 8471238700.000000 0.556234 8049
59195.667550 8471238800.000000 0.548280 8049
59195.667665 8471238800.000000 0.623619 8049
59195.667781 8471238800.000000 0.439691 8049
59195.667897 8471238900.000000 0.588354 8049
59195.668013 8471238900.000000 0.500283 8049
59195.668128 8471239000.000000 0.457997 8049
59195.668244 8471239000.000000 0.499245 8049
59195.668360 8471239100.000000 0.362845 8049
59195.668475 8471239100.000000 0.486158 8049
59195.668591 8471239100.000000 0.402759 8049
59195.668707 8471239200.000000 0.434261 8049
59195.668823 8471239200.000000 0.433135 8049
59195.668938 8471239300.000000 0.353518 8049
59195.669054 8471239300.000000 0.486993 8049
59195.669170 8471239300.000000 0.344039 8049
59195.669286 8471239400.000000 0.438897 8049
59195.669401 8471239400.000000 0.389470 8049
59195.669517 8471239500.000000 0.346253 8049
59195.669633 8471239500.000000 0.370403 8049
59195.669749 8471239600.000000 0.279129 8049
59195.669864 8471239600.000000 0.360892 8049
59195.669980 8471239600.000000 0.274070 8049
59195.670096 8471239700.000000 0.332574 8049
59195.670212 8471239700.000000 0.302399 8049
59195.670327 8471239800.000000 0.288483 8049
59195.670443 8471239800.000000 0.312478 8049
59195.670559 8471239900.000000 0.237629 8049
59195.670675 8471239900.000000 0.318320 8049
59195.670790 8471239900.000000 0.235099 8049
59195.670906 8471240000.000000 0.290431 8049
59195.671022 8471240000.000000 0.251666 8049
59195.671138 8471240100.000000 0.256855 8049
59195.671253 8471240100.000000 0.294283 8049
59195.671369 8471240200.000000 0.236828 8049
59195.671485 8471240200.000000 0.288902 8049
59195.671601 8471240300.000000 0.196183 8049
59195.671716 8471240300.000000 0.257752 8049
59195.671832 8471240300.000000 0.192403 8049
59195.671948 8471240400.000000 0.227671 8049
59195.672063 8471240400.000000 0.205433 8049
59195.672179 8471240500.000000 0.210844 8049
59195.672295 8471240500.000000 0.207711 8049
59195.672411 8471240600.000000 0.179250 8049
59195.672526 8471240600.000000 0.203643 8049
59195.672642 8471240700.000000 0.151966 8049
59195.672758 8471240700.000000 0.196306 8049
59195.672874 8471240700.000000 0.140549 8049
59195.672989 8471240800.000000 0.185140 8049
